Age,Income,LoanAmount,CreditScore,YearsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Default
59,34572,49803,485,23,6,6.861550289930339,36,23.28400844215498,1
49,36867,28278,843,27,8,7.317751528406362,36,42.38537784940932,1
35,59431,19749,600,17,6,4.423428533527561,36,1.7880880340888972,0
63,44639,31511,608,20,11,3.80004392774931,60,15.271277771042712,1
28,75356,38469,488,25,5,13.992301818566967,60,0.5249151262120166,1
41,72014,41185,710,2,2,12.298495637078746,36,8.276268668260833,0
59,75105,26072,837,12,4,9.420617793948816,60,36.23656357648956,0
39,36252,43326,686,37,9,24.786000617555423,36,0.22120797740524667,1
43,57363,32146,492,27,1,12.056918206571874,36,26.152774752183205,1
31,42837,12057,462,13,8,20.460208331329742,36,20.69930755143023,1
31,54918,27427,352,0,5,8.02673025662847,36,6.1435395323949535,1
44,37915,42982,774,27,8,8.811385985088119,36,34.281714194206856,1
56,68392,45090,473,35,8,15.720414394471982,36,34.656193242375316,1
60,38196,49654,495,10,11,3.5866077985971603,36,36.31742707512108,1
44,20791,12036,510,39,6,3.874647431041351,36,38.26537751213517,1
23,80506,15060,689,3,13,6.557702504714856,36,15.749595846600478,1
42,56637,14607,607,33,14,8.297102382165706,36,49.70646444824048,1
22,33963,36102,756,0,14,14.848764589695094,60,3.647686979157144,0
44,47565,25074,630,9,4,18.253932762546718,36,32.384768381766186,1
64,41347,49864,794,16,3,10.205391275742553,60,48.53875486666994,1
50,50086,20773,628,6,0,8.640025124081358,36,11.215523077159483,1
58,62041,33970,328,38,14,21.190440337606404,36,13.906246420872021,1
22,59686,33998,421,12,8,6.999705170634529,36,28.7988719159597,1
41,53805,29210,757,21,5,18.08402093374442,36,39.06287984463715,1
53,50078,45088,717,0,13,23.523606102941223,36,16.44734914523157,1
32,66180,12683,458,27,14,8.492534570218922,60,41.838758182422275,1
42,21118,3962,815,32,1,5.369755358597217,60,12.052189317183547,0
64,38766,36095,301,12,11,24.564816221344223,36,43.71833426709111,1
45,35320,31000,601,0,6,9.32163661660691,60,12.647656206763985,1
69,65093,30137,378,37,11,9.426758994790104,36,30.871757783564085,1
47,38913,36552,614,24,5,13.901104263766936,60,17.889560656988994,1
62,30710,47253,627,20,12,8.467739669492143,36,16.091305617608942,1
48,58239,34571,575,32,3,24.846755641821737,60,17.699778470349152,1
36,36368,46321,751,36,5,4.423766546195195,60,24.960070722807593,1
35,44739,48350,785,33,12,13.206671197044628,60,42.25242933068905,1
67,85717,44861,406,2,10,15.289454803854506,60,37.96591180154064,1
64,61807,40164,545,29,5,13.539443445865853,36,22.467044313048586,1
23,46834,48578,463,2,4,14.691243916551707,36,14.10801446762216,1
57,48183,17559,826,17,0,24.732951600666883,36,42.71504904861821,0
27,63612,43404,300,22,2,22.35338405320767,36,43.50925059317816,1
41,59943,49074,436,7,6,10.131539104866398,36,22.683815031382675,1
29,51133,45963,450,8,1,15.356756557601598,60,34.79229291458077,1
59,51553,6691,479,1,9,3.506686769369218,36,18.463178195321017,1
38,27802,4532,786,1,9,12.305733529534951,36,7.454884026168451,1
24,24649,49991,317,26,0,7.023295791532321,60,16.074145142337336,1
45,47347,21733,524,38,7,18.794252701676683,36,34.10421592877748,1
34,40500,18927,404,35,6,8.253425919122646,36,38.470483176931445,1
29,58791,44114,364,4,5,19.60125637849958,36,42.58276965348036,1
46,52957,14482,632,0,9,10.232936430571566,60,0.885635003848223,1
22,38408,27681,671,21,4,23.40531535819458,36,24.32030646122229,1
40,52447,6456,506,9,5,13.076456936578944,60,13.696105515942675,1
48,43726,4413,528,23,0,21.549630972987757,60,34.197975698400946,1
67,80999,8085,441,14,11,17.005569065338783,60,12.266566772456617,1
27,55793,28937,630,32,8,24.51406162042461,60,28.314010333310968,1
64,26590,21563,570,22,14,19.46853914030982,36,35.59813262305036,1
28,77307,10332,624,13,0,19.145621429694792,36,38.5032459820877,1
67,40502,38575,826,17,3,9.19461862266035,36,13.473414512639565,0
55,35378,8386,846,24,14,14.354484645909617,36,4.3916073222671494,0
34,82155,27337,368,21,12,9.737444306741228,60,10.935668374157775,1
37,55187,35708,511,36,2,3.9148088958956793,36,29.956570686899635,1
56,60511,30572,681,6,3,18.777584652001522,36,2.022459281509914,1
60,60995,34424,719,25,0,8.570484743641776,60,7.943096738567801,1
24,46910,36271,347,23,9,12.042466652369932,60,49.77373638237458,1
